"","pca","ica","lle"
"0","0.7250292397660817","0.8582456140350875","0.8759064327485379"
"1","0.8635087719298243","0.9174269005847954","0.8730994152046785"
"2","0.8789473684210526","0.9202339181286548","0.8543859649122806"
"3","0.9129824561403508","0.9295906432748537","0.8678362573099414"
"4","0.9305263157894735","0.9513450292397659","0.9132163742690057"
"5","0.9396491228070174","0.9505263157894737","0.894970760233918"
"6","0.9404678362573098","0.9456140350877191","0.8739181286549708"
"7","0.9408187134502923","0.9464327485380116","0.8771929824561403"
"8","0.9516959064327485","0.9590643274853801","0.8915789473684211"
"9","0.9480701754385964","0.9463157894736841","0.8885380116959064"
"",,"",""